record_id,Name,SIN,StreetNumber,Street,City,Province,PostalCode,DOB,PhoneNum
rec-0-id,Kevin Anderson,814 607 750,629,Shelly Pine,Cobbmouth,Newfoundland and Labrador,13513,2009-05-01,+1 (191) 927-6373
rec-1-id,Robert Chandler,866 022 171,8088,Sean Club,Lake Michelleport,Nova Scotia,93808,2008-04-11,(309) 128-3391
rec-1-id-dup-0,Robert Chandler,866 022 171,8088,,Lake Michelleport,Nova Scotia,93808,2008-04-11,(309) 128-3391
rec-1-id-dup-1,Robert Chandler,866 022 171,8088,Sean Cl ub,Lake Michelleport,Nova Scotia,93808,2008-04-11,(309) 128-3391
rec-1-id-dup-2,Robert Chandler,866 022 171,8088,,Lake Michelleport,Nova Scotia,93808,2008-04-11,(309) 128-3391
rec-1-id-dup-3,Robert Chandler,866 022 171,8088,Sean Cl ub,Lake Michelleport,Nova Scotia,93808,2008-04-11,(309) 128-3391
rec-1-id-dup-4,Robert Chandler,866 022 171,8088,Avery Prairie,Lake Michelleport,Nova Scotia,93808,2008-04-11,(309) 128-3391
rec-2-id,Lindsey Ramirez,355 304 486,88469,Dixon Cove,Nicoleberg,Yukon Territory,24905,2015-02-22,1 (814) 199-5445
rec-2-id-dup-0,Lindsey Ramirez,355 304 486,88469,Dylan Summit,Nicoleberg,Yukon Territory,24905,2015-02-22,1 (814) 199-5445
rec-2-id-dup-1,Lindsey Ramirez,355 304 486,88469,Cove Dixon,Nicoleberg,Yukon Territory,24905,2015-02-22,1 (814) 199-5445
rec-3-id,Arthur Rogers,013 467 121,2716,Alison Skyway,West Anna,Prince Edward Island,82761,1971-09-11,692-868-7917
rec-3-id-dup-0,Suzanne Miller,013 467 121,2716,Alison Skyway,West Anna,Prince Edward Island,82761,1971-09-11,692-868-7917
rec-3-id-dup-1,Arthur Rogers,013 467 121,2716,Skyway Alison,West Anna,Prince Edward Island,82761,1971-09-11,692-868-7917
rec-3-id-dup-2,Arthur Rogers,013 467 121,2716,Skyway Alison,West Anna,Prince Edward Island,82761,1971-09-11,692-868-7917
rec-3-id-dup-3,Arthur Rogers,013 467 121,2716,Skyway Alison,West Anna,Prince Edward Island,82761,1971-09-11,692-868-7917
rec-4-id,William English,027 683 275,82179,Alvarado Center,Mcneilshire,Saskatchewan,60482,1990-02-18,+1 (546) 602-8149
rec-4-id-dup-0,William English,027 683 275,82179,Green Branch,Mcneilshire,Saskatchewan,60482,1990-02-18,+1 (546) 602-8149
rec-4-id-dup-1,William English,027 683 275,82179,,Mcneilshire,Saskatchewan,60482,1990-02-18,+1 (546) 602-8149
rec-4-id-dup-2,William English,027 683 275,82179,Alvarado Center,Mcneilshire,Saskatchewan,60482,1990-02-18,+1 (546) 602-8149
